2021-01-31 20:01:205 INFO  BrowserSelector :19 - Launching Chrome Browser
2021-01-31 20:01:612 INFO  HomePage :91 - Clicking on start button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:755 INFO  HomePage :97 - Clicking on live in wales button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-wales']]
2021-01-31 20:01:237 INFO  HomePage :103 - Clicking on wales next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:445 INFO  HomePage :109 - Enter date of the birth to field :   [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='dob-day']]
2021-01-31 20:01:712 INFO  HomePage :116 - Enter month of the birth to the field :   [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='dob-month']]
2021-01-31 20:01:987 INFO  HomePage :122 - Enter year of the birth to the field :   [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='dob-year']]
2021-01-31 20:01:435 INFO  HomePage :129 - Clicking on calender next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:571 INFO  HomePage :136 - Clicking on living with no partner button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:899 INFO  HomePage :142 - Clicking on partner next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:51 INFO  HomePage :148 - Clicking on no claim button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:383 INFO  HomePage :154 - Clicking on next claim button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:511 INFO  HomePage :161 - Clicking on no pregnancy button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:911 INFO  HomePage :166 - Clicking on pregnancy next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:79 INFO  HomePage :171 - Clicking on no injury button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:383 INFO  HomePage :176 - Clicking on no injury next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:511 INFO  HomePage :181 - Clicking on no diabetes button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:799 INFO  HomePage :187 - Clicking on no diabetes next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:927 INFO  HomePage :193 - Clicking on no glaucoma button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:211 INFO  HomePage :199 - Clicking on no glaucoma next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:336 INFO  HomePage :205 - Clicking on no care home button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:656 INFO  HomePage :211 - Clicking on care home next button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //input[@id='next-button']]
2021-01-31 20:01:784 INFO  HomePage :218 - Clicking on no saving button :  [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //label[@id='label-no']]
2021-01-31 20:01:283 INFO  HomePage :224 - Clicking on next saving button :  Proxy element for: DefaultElementLocator 'By.xpath: //input[@id='next-button']'
2021-01-31 20:01:611 INFO  HomePage :230 - Getting help Text [[ChromeDriver: chrome on WINDOWS (84f6a4144b798e7984d78b1f9e5258dd)] -> xpath: //h2[@id='FREE-heading']]
